company_name,sector,city,founded_year,funding_date,funding_stage,amount,currency,investors,startup_description
AuraSnack,Food & Beverage,Austin,2020,2023-01-18,Seed,1250000,USD,"BluePeak Ventures; Northstar Capital","Functional snack brand focused on protein-rich products for urban professionals."
GlowNest,Beauty & Personal Care,Los Angeles,2019,2023-02-10,Series A,4200000,USD,"Canvas VC; BluePeak Ventures","Clean beauty platform selling refillable skincare products through DTC and retail."
LoopWear,Fashion & Apparel,New York,2021,2023-03-05,Seed,950000,USD,"SeedSpring; Retail Angels","Circular fashion marketplace using resale data to create sustainable capsule collections."
HomeMint,Home & Lifestyle,Seattle,2018,2023-04-22,Series B,8700000,USD,"Summit Growth; Canvas VC","Digitally native home goods brand with premium modular storage and decor."
PetPulse,Pet Care,Denver,2020,2023-05-12,Seed,1800000,USD,"Trailhead Ventures; Retail Angels","Subscription pet wellness brand combining supplements, diagnostics, and tele-vet support."
FreshForge,Food & Beverage,Chicago,2017,2023-06-16,Series B,11500000,USD,"Summit Growth; Northstar Capital","Frozen meal brand serving health-conscious families through grocery and direct channels."
VitaBloom,Health & Wellness,San Francisco,2019,2023-07-20,Series A,6100000,USD,"BluePeak Ventures; HealthScale Partners","Women's wellness brand blending supplements, coaching, and personalized subscriptions."
KindCart,Retail Tech,Boston,2021,2023-08-14,Seed,1400000,USD,"SeedSpring; Canvas VC","Retail enablement platform helping emerging consumer brands manage wholesale operations."
BrightBrew,Food & Beverage,Portland,2020,2023-09-09,Series A,3500000,USD,"Northstar Capital; Trailhead Ventures","Ready-to-drink coffee brand with sustainable packaging and premium convenience positioning."
SkinTheory,Beauty & Personal Care,Miami,2018,2023-10-27,Series B,9200000,USD,"Canvas VC; Summit Growth","Clinical skincare brand combining dermatologist-led formulas with personalized regimens."
EcoCrate,Home & Lifestyle,San Diego,2021,2023-11-17,Seed,1100000,USD,"Retail Angels; SeedSpring","Reusable household essentials brand reducing single-use packaging."
FitFuel,Health & Wellness,Nashville,2019,2023-12-11,Series A,4800000,USD,"HealthScale Partners; BluePeak Ventures","Sports nutrition brand built around clean-label performance products."
AuraSnack,Food & Beverage,Austin,2020,2024-01-24,Series A,5200000,USD,"BluePeak Ventures; Summit Growth","Functional snack brand focused on protein-rich products for urban professionals."
GlowNest,Beauty & Personal Care,Los Angeles,2019,2024-02-19,Series B,9700000,USD,"Canvas VC; Summit Growth","Clean beauty platform selling refillable skincare products through DTC and retail."
LoopWear,Fashion & Apparel,New York,2021,2024-03-15,Series A,3400000,USD,"SeedSpring; Canvas VC","Circular fashion marketplace using resale data to create sustainable capsule collections."
PetPulse,Pet Care,Denver,2020,2024-04-18,Series A,4600000,USD,"Trailhead Ventures; HealthScale Partners","Subscription pet wellness brand combining supplements, diagnostics, and tele-vet support."
FreshForge,Food & Beverage,Chicago,2017,2024-05-21,Series C,21000000,USD,"Summit Growth; Northstar Capital","Frozen meal brand serving health-conscious families through grocery and direct channels."
VitaBloom,Health & Wellness,San Francisco,2019,2024-06-13,Series B,13200000,USD,"HealthScale Partners; Summit Growth","Women's wellness brand blending supplements, coaching, and personalized subscriptions."
KindCart,Retail Tech,Boston,2021,2024-07-08,Series A,3900000,USD,"Canvas VC; SeedSpring","Retail enablement platform helping emerging consumer brands manage wholesale operations."
BrightBrew,Food & Beverage,Portland,2020,2024-08-30,Series B,8300000,USD,"Northstar Capital; Summit Growth","Ready-to-drink coffee brand with sustainable packaging and premium convenience positioning."
SkinTheory,Beauty & Personal Care,Miami,2018,2024-09-26,Series C,18200000,USD,"Canvas VC; Summit Growth","Clinical skincare brand combining dermatologist-led formulas with personalized regimens."
EcoCrate,Home & Lifestyle,San Diego,2021,2024-10-10,Series A,2800000,USD,"Retail Angels; Trailhead Ventures","Reusable household essentials brand reducing single-use packaging."
FitFuel,Health & Wellness,Nashville,2019,2024-11-14,Series B,10500000,USD,"HealthScale Partners; Northstar Capital","Sports nutrition brand built around clean-label performance products."
HomeMint,Home & Lifestyle,Seattle,2018,2024-12-06,Series C,17600000,USD,"Summit Growth; Canvas VC","Digitally native home goods brand with premium modular storage and decor."
AuraSnack,Food & Beverage,Austin,2020,2025-01-16,Series B,12400000,USD,"BluePeak Ventures; Northstar Capital","Functional snack brand focused on protein-rich products for urban professionals."
GlowNest,Beauty & Personal Care,Los Angeles,2019,2025-02-21,Growth,22500000,USD,"Canvas VC; Summit Growth","Clean beauty platform selling refillable skincare products through DTC and retail."
LoopWear,Fashion & Apparel,New York,2021,2025-03-19,Series B,7600000,USD,"Canvas VC; Summit Growth","Circular fashion marketplace using resale data to create sustainable capsule collections."
PetPulse,Pet Care,Denver,2020,2025-04-23,Series B,9800000,USD,"HealthScale Partners; Trailhead Ventures","Subscription pet wellness brand combining supplements, diagnostics, and tele-vet support."
VitaBloom,Health & Wellness,San Francisco,2019,2025-05-13,Growth,28600000,USD,"HealthScale Partners; Summit Growth","Women's wellness brand blending supplements, coaching, and personalized subscriptions."
BrightBrew,Food & Beverage,Portland,2020,2025-06-27,Series C,15400000,USD,"Northstar Capital; Summit Growth","Ready-to-drink coffee brand with sustainable packaging and premium convenience positioning."
SkinTheory,Beauty & Personal Care,Miami,2018,2025-07-18,Growth,33700000,USD,"Canvas VC; Summit Growth","Clinical skincare brand combining dermatologist-led formulas with personalized regimens."
EcoCrate,Home & Lifestyle,San Diego,2021,2025-08-11,Series B,6800000,USD,"Trailhead Ventures; Retail Angels","Reusable household essentials brand reducing single-use packaging."
FitFuel,Health & Wellness,Nashville,2019,2025-09-22,Series C,19100000,USD,"HealthScale Partners; Northstar Capital","Sports nutrition brand built around clean-label performance products."
KindCart,Retail Tech,Boston,2021,2025-10-15,Series B,8800000,USD,"Canvas VC; Northstar Capital","Retail enablement platform helping emerging consumer brands manage wholesale operations."
FreshForge,Food & Beverage,Chicago,2017,2025-11-07,Growth,40500000,USD,"Summit Growth; Northstar Capital","Frozen meal brand serving health-conscious families through grocery and direct channels."
HomeMint,Home & Lifestyle,Seattle,2018,2025-12-12,Growth,28400000,USD,"Summit Growth; Canvas VC","Digitally native home goods brand with premium modular storage and decor."
LuxeLeaf,Beauty & Personal Care,London,2020,2025-02-04,Series A,4500000,GBP,"Canvas VC; EuroConsumer Fund","Botanical skincare brand scaling across premium retail partners."
UrbanTiffin,Food & Beverage,Bengaluru,2021,2025-04-02,Series A,180000000,INR,"India Consumer Fund; BluePeak Ventures","Fresh meal subscription brand serving office workers in major Indian metros."
TinyTrail,Pet Care,Berlin,2022,2025-09-09,Seed,2100000,EUR,"EuroConsumer Fund; Retail Angels","Premium pet travel accessories brand with marketplace-led distribution."

